,cardId,Name,Gender,Age,Chapeau,Début texte,cardFilter1Tri,cardFilter3Tri,cardFilter4Tri,cardFilter5Tri,cardFilter6Tri,cardSection5Text,cardSection6Text
57,53,Max Rheiner,male,46 ans,"Fondateur et Head Master Interaction Design, Somniacs SA, Zurich","Pouvoir voler comme un oiseau? C’est possible grâce à Max Rheiner. En collaboration avec les étudiants de la Haute école des arts de Zurich (ZHdK), le directeur du master en conception interactive a d",f-plus-40,f-homme,(Les précurseurs / Les créatifs / …),(secteur d’activité),(Indépendant / Chercheur / PME / Grande entreprise),(liens Le Temps),(profil linkedin)
80,77,Gregoire Ribordy,unknown,47 ans,"Fondateur, CEO et vice-président d’ID Quantique, Genève","La genevoise ID Quantique est l’une des trois premières entreprises mondiales en cryptographie quantique. L’entreprise construit des dispositifs, appelés systèmes de cryptographie quantique, qui crypt",f-plus-40,,(Les précurseurs / Les créatifs / …),(secteur d’activité),(Indépendant / Chercheur / PME / Grande entreprise),(liens Le Temps),(profil linkedin)
91,90,Eva Richterich,female,45 ans,"CEO de Ricolab, Zurich",Il arrive que des entreprises établies doivent longuement réfléchir à un nom si elles veulent mettre en place un laboratoire de pensées en dehors des structures existantes. Pour l’emblématique fabrica,f-plus-40,f-femme,(Les précurseurs / Les créatifs / …),(secteur d’activité),(Indépendant / Chercheur / PME / Grande entreprise),(liens Le Temps),(profil linkedin)
29,20,Neil Rimer,male,54 ans,"Cofondateur d’Index Ventures, Genève, Londres et San Francisco","Au début des années 1980, Neil Rimer étudiait la médecine à l’Université Stanford. Trente-cinq ans plus tard, sa société genevoise est l’une des 100 sociétés de capital-risque les plus prospères au mo",f-plus-40,f-homme,(Les précurseurs / Les créatifs / …),(secteur d’activité),(Indépendant / Chercheur / PME / Grande entreprise),(liens Le Temps),(profil linkedin)
40,35,Pipilotti Rist,unknown,56 ans,"Artiste, Zurich",Le succès a été immédiat l’hiver dernier lorsque Pipilotti Rist a transformé le Musée d’art contemporain de Sydney en un royaume magique. La rétrospective des œuvres de Pipilotti Rist a apporté au mus,f-plus-40,,(Les précurseurs / Les créatifs / …),(secteur d’activité),(Indépendant / Chercheur / PME / Grande entreprise),(liens Le Temps),(profil linkedin)
16,84,Anita Roth,female,37 ans,"Cheffe de la division Policy Data Science chez Airbnb, San Francisco","Depuis la création d’Airbnb, 300 millions de réservations ont été réalisées dans des ménages privés de milliers de villes et endroits du monde. Mais quelle influence ont ces réservations en ligne sur ",f-moins-40,f-femme,(Les précurseurs / Les créatifs / …),(secteur d’activité),(Indépendant / Chercheur / PME / Grande entreprise),(liens Le Temps),(profil linkedin)
94,93,Valentina S,female,31 ans,"Cofondatrice de Capacity Zurich, Zurich","Née en Colombie, Valentina S. Velandia a elle-même immigré, d’abord aux Etats-Unis, puis en Suisse. Elle connaît les défis de la langue, avec les autorités et pour la reconnaissance des diplômes unive",f-moins-40,f-femme,(Les précurseurs / Les créatifs / …),(secteur d’activité),(Indépendant / Chercheur / PME / Grande entreprise),(liens Le Temps),(profil linkedin)
32,24,Marcel Salathé,male,42 ans,"Laboratoire d’épidémiologie digitale, EPF Lausanne","Ça fonctionne généralement ainsi: les entrepreneurs et les universitaires créent des entreprises basées sur des produits issus de la recherche. Avec Marcel Salathé, c’était différent. Flu Trends, l’ou",f-plus-40,f-homme,(Les précurseurs / Les créatifs / …),(secteur d’activité),(Indépendant / Chercheur / PME / Grande entreprise),(liens Le Temps),(profil linkedin)
48,42,Toni Schneider,male,,"Partenaire de True Ventures, San Francisco","Pour les Suisses de la Silicon Valley, Toni Schneider est un vétéran: en 1989 déjà, il déménage de Meilen (ZH) pour étudier l’informatique en Californie. Il n’est plus rentré au pays: il a fondé deux ",,f-homme,(Les précurseurs / Les créatifs / …),(secteur d’activité),(Indépendant / Chercheur / PME / Grande entreprise),(liens Le Temps),(profil linkedin)
69,66,Philomena Schwab,female,28 ans,"Fondatrice du Game Studio Stray Fawn, Zurich","Philomena Schwab cumule tous les clichés de la créatrice de jeux vidéo: elle aime lire des bandes dessinées, adore les mangas et apprend le japonais. Mais c’est à son studio de jeu Stray Fawn, fondé a",f-moins-40,f-femme,(Les précurseurs / Les créatifs / …),(secteur d’activité),(Indépendant / Chercheur / PME / Grande entreprise),(liens Le Temps),(profil linkedin)
8,43,Florian Schweitzer,male,44 ans,"Partenaire de Btov Partners, Saint-Gall",Florian Schweitzer peut bien être content: «Les nouveaux contrats affluent et nous récoltons maintenant ce que nous semons depuis dix-huit ans.» C’est le temps passé en affaires chez Btov (Brains to V,f-plus-40,f-homme,(Les précurseurs / Les créatifs / …),(secteur d’activité),(Indépendant / Chercheur / PME / Grande entreprise),(liens Le Temps),(profil linkedin)
22,10,Dorian Selz,male,47 ans,"Fondateur de Namics, Memonic, Squirro","«En Suisse, fondateur en série n’est jamais une distinction honorifique, affirme Dorian Selz. Ici, il y a encore beaucoup de scepticisme vis-à-vis de la nouveauté.» Dorian Selz est bien placé pour le ",f-plus-40,f-homme,(Les précurseurs / Les créatifs / …),(secteur d’activité),(Indépendant / Chercheur / PME / Grande entreprise),(liens Le Temps),(profil linkedin)
30,21,Michael Sidler,male,50 ans,"Cofondateur associé de Redalpine, Zurich","Ces cinq dernières années, l’investisseur Redalpine pour sociétés en phase initiale a investi environ 10 millions de francs suisses dans des start-up et détient actuellement des participations dans pl",f-plus-40,f-homme,(Les précurseurs / Les créatifs / …),(secteur d’activité),(Indépendant / Chercheur / PME / Grande entreprise),(liens Le Temps),(profil linkedin)
33,25,Roland Siegwart,male,59 ans,"Laboratoire de systèmes autonomes, EPF Zurich","Lorsqu’il s’agit de robots, il est la rafraîchissante voix de la raison. Roland Siegwart a formé des dizaines de jeunes talents qui ont repris Google, Apple et Facebook avec les honneurs de l’EPFZ. Pa",f-plus-40,f-homme,(Les précurseurs / Les créatifs / …),(secteur d’activité),(Indépendant / Chercheur / PME / Grande entreprise),(liens Le Temps),(profil linkedin)
26,16,Christian Simm,male,59 ans,Fondateur de Swissnex San Francisco et CEO de Swissnex Boston,"L’objectif de Christian Simm est clair: la Suisse doit continuer à faire partie des pays les plus innovants du monde, notamment grâce au réseau international. C’est dans ce but qu’en 2003 le Lausannoi",f-plus-40,f-homme,(Les précurseurs / Les créatifs / …),(secteur d’activité),(Indépendant / Chercheur / PME / Grande entreprise),(liens Le Temps),(profil linkedin)
49,44,Philipp Stauffer,male,47 ans,"Cofondateur et directeur associé de Fyrfly Venture Partners, Silicon Valley","Depuis plus de quinze ans, Philipp Stauffer et sa partenaire Julie Allegro investissent dans des start-up technologiques. La liste est longue: Playspan, Angellist, Switchfly, Beekeeper, Altoida ou Phi",f-plus-40,f-homme,(Les précurseurs / Les créatifs / …),(secteur d’activité),(Indépendant / Chercheur / PME / Grande entreprise),(liens Le Temps),(profil linkedin)
42,37,Amir Suissa,male,46 ans,"Fondateur de Wefox, Zurich","Amir Suissa est un véritable fondateur en série: il a créé Swissinvest.com en 1996, puis First Tuesday SA en 2000, avant de fonder DeinDeal en 2010, devenue en cinq ans seulement une entreprise valant",f-plus-40,f-homme,(Les précurseurs / Les créatifs / …),(secteur d’activité),(Indépendant / Chercheur / PME / Grande entreprise),(liens Le Temps),(profil linkedin)
36,3,Tej Tadi,unknown,37 ans,"Fondateur et CEO de MindMaze, Lausanne","Tej Tadi est ingénieur électricien de formation. Mais c’est comme jeune entrepreneur le plus prospère de Suisse qu’il s’est fait connaître. En quatre ans, l’Indien de naissance a construit l’entrepris",f-moins-40,,(Les précurseurs / Les créatifs / …),(secteur d’activité),(Indépendant / Chercheur / PME / Grande entreprise),(liens Le Temps),(profil linkedin)
7,28,Estefania Tapias,female,30 ans,"Chair of Information Architecture, EPF Zurich","Architecture, numérisation, urbanisation, recherche climatique: de nombreuses marmites mijotent dans la cuisine d’Estefania Tapias. La Colombienne prépare un plat alléchant, en particulier pour les ur",f-moins-40,f-femme,(Les précurseurs / Les créatifs / …),(secteur d’activité),(Indépendant / Chercheur / PME / Grande entreprise),(liens Le Temps),(profil linkedin)
65,62,Dominik Tarolli,male,44 ans,"Fondateur Procedural, directeur Esri, Redlands (Californie)","Pour Dominik Tarolli, le moment de fonder sa start-up n’aurait pas pu être pire: c’est exactement au début de la crise financière mondiale de 2008 qu’il a lancé Procedural avec ses partenaires cofonda",f-plus-40,f-homme,(Les précurseurs / Les créatifs / …),(secteur d’activité),(Indépendant / Chercheur / PME / Grande entreprise),(liens Le Temps),(profil linkedin)
70,67,Patrick Thévoz,male,32 ans,"Cofondateur et CEO de Flyability, Lausanne","Le commerce des drones explose. En 2006, les ventes de robots volants dans le monde représentaient 2 milliards de francs, contre plus de 40 milliards aujourd’hui; ce volume devrait atteindre 100 milli",f-moins-40,f-homme,(Les précurseurs / Les créatifs / …),(secteur d’activité),(Indépendant / Chercheur / PME / Grande entreprise),(liens Le Temps),(profil linkedin)
61,58,Yann Tissot,male,39 ans,"Cofondateur et CEO L.E.S.S., Renens","Au début, il y avait l’ampoule à incandescence. Puis sont arrivés le néon et les LED. Et maintenant la lumière de L.E.S.S. C’est par ces mots qu’un membre du jury justifia le fait que la start-up soit",f-moins-40,f-homme,(Les précurseurs / Les créatifs / …),(secteur d’activité),(Indépendant / Chercheur / PME / Grande entreprise),(liens Le Temps),(profil linkedin)
52,48,Sandra Tobler,female,39 ans,"Cofondatrice et CEO de Futurae Technologies, Zurich","La société de cybersécurité Futurae Technologies rend les sites web, l’e-banking, les connexions aux appareils mobiles ou IdO plus sûrs, sans que l’utilisateur s’en aperçoive. «Comme les gens utilisen",f-moins-40,f-femme,(Les précurseurs / Les créatifs / …),(secteur d’activité),(Indépendant / Chercheur / PME / Grande entreprise),(liens Le Temps),(profil linkedin)
95,94,Grace Torrellas,female,,"Evangéliste de la blockchain, Lausanne","Blockchain par-ci, blockchain par-là, blockchain partout. La technologie promet de tout rendre plus rapide, plus efficace et plus transparent, ce qui entre-temps est devenu une préoccupation des group",,f-femme,(Les précurseurs / Les créatifs / …),(secteur d’activité),(Indépendant / Chercheur / PME / Grande entreprise),(liens Le Temps),(profil linkedin)
35,27,Luc Van Gool,male,58 ans,"Computer Vision Lab, EPF Zurich","De nos jours, les gens aiment parler d’apprentissage automatisé, d’intelligence artificielle et de la façon dont les robots apprennent à penser. Les décennies de recherche ayant appris au robot à voir",f-plus-40,f-homme,(Les précurseurs / Les créatifs / …),(secteur d’activité),(Indépendant / Chercheur / PME / Grande entreprise),(liens Le Temps),(profil linkedin)
73,70,Pascale Vonmont,female,51 ans,"CEO Fondation Gebert Rüf, Bâle","Pascale Vonmont est une figure clé dans la promotion de start-up. La docteure en chimie travaille pour la Fondation Gebert Rüf depuis près de vingt ans, comme CEO depuis un an. Financée par le capital",f-plus-40,f-femme,(Les précurseurs / Les créatifs / …),(secteur d’activité),(Indépendant / Chercheur / PME / Grande entreprise),(liens Le Temps),(profil linkedin)
98,97,Jean-Pierre Vuilleumier,male,59 ans,"Directeur général de la start-up Invest, Berne","«Maître suisse du tangage», c’est ainsi que Jean-Pierre Vuilleumier se désigne lui-même. Il enseigne aux start-up comment bien vendre une analyse de rentabilisation en Suisse. Ce n’est là qu’un petit ",f-plus-40,f-homme,(Les précurseurs / Les créatifs / …),(secteur d’activité),(Indépendant / Chercheur / PME / Grande entreprise),(liens Le Temps),(profil linkedin)
47,41,Steffen Wagner,male,44 ans,"Cofondateur et co-PDG d’Investiere, Verve Capital Partners, Baar (ZG)","Créée en 2010, la société de capital-risque numérique Investiere.ch investit dans des start-up avec son réseau et son savoir-faire. Avec le cofondateur Lukas Weber, Steffen Wagner a choisi une autre a",f-plus-40,f-homme,(Les précurseurs / Les créatifs / …),(secteur d’activité),(Indépendant / Chercheur / PME / Grande entreprise),(liens Le Temps),(profil linkedin)
88,87,Cédric Waldburger,male,30 ans,"Cofondateur de Tenderloin Ventures, Zoug","Déjà tout jeune, Cédric Waldburger sortait de l’ordinaire. Pendant que ses amis s’amusaient dehors, le petit Cédric apprenait seul divers langages de programmation informatique. Sa première entreprise",f-moins-40,f-homme,(Les précurseurs / Les créatifs / …),(secteur d’activité),(Indépendant / Chercheur / PME / Grande entreprise),(liens Le Temps),(profil linkedin)
3,11,Patrick Warnking,male,50 ans,"Directeur de Google Suisse, Zurich","Patrick Warnking est à la tête de Google Suisse depuis sept ans. Sous le règne de ce natif allemand, l’organisation nationale locale s’est développée pour devenir, avec 2500 employés actuellement, le ",f-plus-40,f-homme,(Les précurseurs / Les créatifs / …),(secteur d’activité),(Indépendant / Chercheur / PME / Grande entreprise),(liens Le Temps),(profil linkedin)
62,59,Basil Weibel,male,30 ans,"Cofondateur et CEO Wingtra, Zurich","Dans le développement des drones, la Suisse fait partie des pays pionniers. Du coup, les jeunes entreprises sont nombreuses à se concurrencer dans ce secteur de croissance. Wingtra se distingue par un",f-moins-40,f-homme,(Les précurseurs / Les créatifs / …),(secteur d’activité),(Indépendant / Chercheur / PME / Grande entreprise),(liens Le Temps),(profil linkedin)
99,99,Christian Wenger,male,54 ans,"Touche-à-tout, Zurich","Christian «Chrigu» Wenger est l’une des personnes en Suisse qui portent le plus de casquettes numériques, et pour les plus longues durées: l’avocat d’affaires s’occupe de start-up, de technologie et d",f-plus-40,f-homme,(Les précurseurs / Les créatifs / …),(secteur d’activité),(Indépendant / Chercheur / PME / Grande entreprise),(liens Le Temps),(profil linkedin)
50,45,Roland Zeller,male,48 ans,"Directeur et propriétaire d’Innuvik Ventures, Bottighofen (TG)","La carrière du fondateur et investisseur Roland Zeller est marquée par le voyage: en 2000, le Bernois lançait l’agence de voyages en ligne Travel.ch et poursuivait son expansion en Europe du Nord comm",f-plus-40,f-homme,(Les précurseurs / Les créatifs / …),(secteur d’activité),(Indépendant / Chercheur / PME / Grande entreprise),(liens Le Temps),(profil linkedin)
86,85,Claude Zellweger,mostly_male,46 ans,"Directeur du design Daydream chez Google, Mountain View (Californie)","«Les nerds l’ont enfin en main», le gros titre d’octobre 2017 sur le nouveau design des outils Google, on le doit au Lucernois d’origine Claude Zellweger, 46 ans. L’as du design, qui a appris ce qu’es",f-plus-40,,(Les précurseurs / Les créatifs / …),(secteur d’activité),(Indépendant / Chercheur / PME / Grande entreprise),(liens Le Temps),(profil linkedin)
74,71,Lea von Bidder,female,28 ans,"Cofondatrice d’Ava, San Francisco","«Il s’est passé tellement de choses», dit Lea von Bidder. Pas étonnant, car la société Ava, qu’elle a contribué à fonder il y a quatre ans, est l’une des jeunes entreprises les plus prometteuses de Su",f-moins-40,f-femme,(Les précurseurs / Les créatifs / …),(secteur d’activité),(Indépendant / Chercheur / PME / Grande entreprise),(liens Le Temps),(profil linkedin)
